,Wavenumber,4_P1_1
0,1200,0.004222315999999999
1,1198,0.005400065
2,1196,0.006312413
3,1194,0.006761151
4,1192,0.0066752009999999995
5,1190,0.006289229
6,1188,0.005882325999999999
7,1186,0.005776014
8,1184,0.005913774
9,1182,0.0060656090000000005
10,1180,0.005767943
11,1178,0.004743132
12,1176,0.003058216
13,1174,0.001280005
14,1172,-9.945e-06
15,1170,-0.000580501
16,1168,-0.000670327
17,1166,-0.000523149
18,1164,-0.000465885
19,1162,-0.000672051
20,1160,-0.00114792
21,1158,-0.001720859
22,1156,-0.0024030139999999998
23,1154,-0.0031588420000000002
24,1152,-0.00375325
25,1150,-0.003744361
26,1148,-0.002844561
27,1146,-0.001075037
28,1144,0.001236542
29,1142,0.003645948
30,1140,0.005541778000000001
31,1138,0.006427885
32,1136,0.006031698
33,1134,0.004423487
34,1132,0.0021374000000000002
35,1130,-5.1998e-05
36,1128,-0.001575407
37,1126,-0.002226991
38,1124,-0.00212279
39,1122,-0.001538205
40,1120,-0.0006905510000000001
41,1118,0.00047332099999999996
42,1116,0.002164585
43,1114,0.004278795
44,1112,0.006144189
45,1110,0.0069955780000000006
46,1108,0.006402764
47,1106,0.004415449
48,1104,0.00187085
49,1102,-6.5127e-05
50,1100,-0.000573584
51,1098,0.00048776300000000005
52,1096,0.002497449
53,1094,0.004336909
54,1092,0.005016073
55,1090,0.004083014
56,1088,0.0018476039999999999
57,1086,-0.001135318
58,1084,-0.004096589
59,1082,-0.00635925
60,1080,-0.007541319
61,1078,-0.007721884
62,1076,-0.007089931
63,1074,-0.006105799
64,1072,-0.005234598
65,1070,-0.004912108
66,1068,-0.005357936
67,1066,-0.006753321999999999
68,1064,-0.008843931
69,1062,-0.010982189
70,1060,-0.012020158000000001
71,1058,-0.010902056
72,1056,-0.007160611999999999
73,1054,-0.0015539179999999998
74,1052,0.004408323
75,1050,0.008979993
76,1048,0.011045373999999998
77,1046,0.010342228
78,1044,0.007699167
79,1042,0.004309365
80,1040,0.001123223
81,1038,-0.00176571
82,1036,-0.004501323
83,1034,-0.007132672
84,1032,-0.009676729
85,1030,-0.012200276000000001
86,1028,-0.014428914
87,1026,-0.015963383
88,1024,-0.016377113999999998
89,1022,-0.015602752
90,1020,-0.013526922
91,1018,-0.010069706999999999
92,1016,-0.0054865190000000005
93,1014,-0.000222785
94,1012,0.00515889
95,1010,0.009927688
96,1008,0.013337709
97,1006,0.014773443999999998
98,1004,0.013983062
99,1002,0.011037781000000002
100,1000,0.006596811
101,998,0.0018394370000000002
102,996,-0.002045387
103,994,-0.004121692
104,992,-0.004039283
105,990,-0.002195496
106,988,0.000371136
107,986,0.0025457739999999998
108,984,0.0037844690000000004
109,982,0.0040797590000000005
110,980,0.003669527
111,978,0.002873648
112,976,0.001730215
113,974,7.3493e-05
114,972,-0.002161636
115,970,-0.004534194
116,968,-0.006251694
117,966,-0.006677625
118,964,-0.005693462
119,962,-0.0035746059999999997
120,960,-0.0007341839999999999
121,958,0.002235836
122,956,0.004619865
123,954,0.006141845999999999
124,952,0.006794865
125,950,0.006836701999999999
126,948,0.006504454000000001
127,946,0.006014581999999999
128,944,0.005618643
129,942,0.005147543
130,940,0.004287498
131,938,0.003183905
132,936,0.002124315
133,934,0.0015995010000000001
134,932,0.001713087
135,930,0.002270804
136,928,0.002929193
137,926,0.00308486
138,924,0.002247727
139,922,0.000387998
140,920,-0.00225191
141,918,-0.0049918259999999996
142,916,-0.0070026030000000005
143,914,-0.007523836
144,912,-0.006338011
145,910,-0.00381928
146,908,-0.0007717010000000001
147,906,0.001858281
148,904,0.0032611090000000003
149,902,0.003319794
150,900,0.002564892
