,Wavenumber,09C77
0,1200,0.004023486
1,1198,0.00544975
2,1196,0.006689207
3,1194,0.007656515
4,1192,0.008376834
5,1190,0.008933561999999999
6,1188,0.009361422
7,1186,0.009641021999999999
8,1184,0.009538781999999999
9,1182,0.008706748
10,1180,0.0068150269999999995
11,1178,0.004016055
12,1176,0.000957492
13,1174,-0.0014223920000000002
14,1172,-0.002495663
15,1170,-0.002241154
16,1168,-0.0012606919999999999
17,1166,-0.00045614699999999995
18,1164,-0.000562907
19,1162,-0.001680246
20,1160,-0.0033329640000000003
21,1158,-0.004837635
22,1156,-0.005631537
23,1154,-0.0054396159999999995
24,1152,-0.004198122
25,1150,-0.002089439
26,1148,0.000494351
27,1146,0.0030720659999999996
28,1144,0.005201734
29,1142,0.0065659659999999995
30,1140,0.007083818
31,1138,0.00676366
32,1136,0.005795921
33,1134,0.004453296
34,1132,0.003064502
35,1130,0.001835344
36,1128,0.0008043389999999999
37,1126,-0.000205164
38,1124,-0.00126349
39,1122,-0.002291092
40,1120,-0.00286289
41,1118,-0.00251269
42,1116,-0.000901332
43,1114,0.001622349
44,1112,0.004286423
45,1110,0.006049625
46,1108,0.006401465
47,1106,0.005446485
48,1104,0.004092051
49,1102,0.003428658
50,1100,0.004422896
51,1098,0.0067693219999999995
52,1096,0.009188341
53,1094,0.009642972
54,1092,0.006961136
55,1090,0.0009697260000000001
56,1088,-0.007025349
57,1086,-0.015107481
58,1084,-0.021103902999999997
59,1082,-0.02399933
60,1080,-0.023577719
61,1078,-0.020667932
62,1076,-0.015953175
63,1074,-0.010409679
64,1072,-0.004534242
65,1070,0.000977383
66,1068,0.005703794
67,1066,0.008895916
68,1064,0.010311551
69,1062,0.009781841999999999
70,1060,0.00790681
71,1058,0.0053238140000000005
72,1056,0.0031289029999999997
73,1054,0.0017284079999999999
74,1052,0.001181583
75,1050,0.000772317
76,1048,2.1203000000000004e-05
77,1046,-0.001652517
78,1044,-0.004134569
79,1042,-0.007205881999999999
80,1040,-0.010251676999999999
81,1038,-0.013265998999999999
82,1036,-0.016035082
83,1034,-0.018388274
84,1032,-0.0196435
85,1030,-0.019388191000000003
86,1028,-0.01719118
87,1026,-0.013356948
88,1024,-0.00854417
89,1022,-0.003921385
90,1020,-6.0631e-05
91,1018,0.0028344040000000004
92,1016,0.005146027
93,1014,0.007169105
94,1012,0.009149534
95,1010,0.010925401000000001
96,1008,0.012230099
97,1006,0.012601623999999999
98,1004,0.011736208
99,1002,0.009464925
100,1000,0.006099569
101,998,0.002339537
102,996,-0.0008265760000000001
103,994,-0.0025379820000000003
104,992,-0.002252583
105,990,-4.0153e-05
106,988,0.003356971
107,986,0.00673151
108,984,0.00893104
109,982,0.009272554
110,980,0.007736778000000001
111,978,0.0047955229999999995
112,976,0.001139147
113,974,-0.0025161429999999998
114,972,-0.005548965
115,970,-0.0075844219999999995
116,968,-0.008435394
117,966,-0.008058109
118,964,-0.006538336999999999
119,962,-0.004105633
120,960,-0.001150054
121,958,0.001914345
122,956,0.0046531229999999995
123,954,0.0066778459999999994
124,952,0.007740584
125,950,0.00784697
126,948,0.00716812
127,946,0.00600516
128,944,0.004584829
129,942,0.00305593
130,940,0.0015221979999999998
131,938,0.00023536
132,936,-0.00046263300000000005
133,934,-0.000235812
134,932,0.000949877
135,930,0.002757438
136,928,0.004400932
137,926,0.00496678
138,924,0.003761622
139,922,0.0007396010000000001
140,920,-0.0034187159999999996
141,918,-0.007420919000000001
142,916,-0.009925108
143,914,-0.010023603
144,912,-0.00773338
145,910,-0.003880828
146,908,0.00026394200000000003
147,906,0.003578219
148,904,0.00545568
149,902,0.005947757
150,900,0.005492586
