,Wavenumber,C1713
0,1200,0.004794319
1,1198,0.0061674469999999995
2,1196,0.007258523
3,1194,0.008060058
4,1192,0.00860326
5,1190,0.008933465
6,1188,0.009094634
7,1186,0.009109654
8,1184,0.008825116
9,1182,0.007957812
10,1180,0.006192596999999999
11,1178,0.0034940009999999996
12,1176,0.000251643
13,1174,-0.002767129
14,1172,-0.00479696
15,1170,-0.005472431999999999
16,1168,-0.004930726
17,1166,-0.003672285
18,1164,-0.002351166
19,1162,-0.001434084
20,1160,-0.001022189
21,1158,-0.000992132
22,1156,-0.001113916
23,1154,-0.001204632
24,1152,-0.0010141969999999999
25,1150,-0.00032198299999999997
26,1148,0.00094463
27,1146,0.0026230679999999997
28,1144,0.004405963
29,1142,0.0058934040000000005
30,1140,0.006744099
31,1138,0.006607044
32,1136,0.005394168
33,1134,0.003249751
34,1132,0.000616637
35,1130,-0.001926995
36,1128,-0.003757655
37,1126,-0.004571670999999999
38,1124,-0.004310199
39,1122,-0.003177481
40,1120,-0.001376496
41,1118,0.000797921
42,1116,0.0031285429999999997
43,1114,0.005153104
44,1112,0.006467846
45,1110,0.0067274809999999996
46,1108,0.006051162
47,1106,0.004819593
48,1104,0.00378639
49,1102,0.003513055
50,1100,0.004399234
51,1098,0.0060001640000000005
52,1096,0.0074505430000000004
53,1094,0.007557652
54,1092,0.005728785
55,1090,0.0018762689999999999
56,1088,-0.0031176909999999997
57,1086,-0.008196004
58,1084,-0.012056545
59,1082,-0.014213423999999999
60,1080,-0.014573537
61,1078,-0.013750221000000002
62,1076,-0.012118495
63,1074,-0.010247321
64,1072,-0.008255591999999999
65,1070,-0.006583382
66,1068,-0.005363418000000001
67,1066,-0.004987910999999999
68,1064,-0.005235925
69,1062,-0.0059129230000000005
70,1060,-0.006311618000000001
71,1058,-0.005930414
72,1056,-0.003904112
73,1054,-0.00029922900000000003
74,1052,0.004213410999999999
75,1050,0.008128488
76,1048,0.010306437
77,1046,0.00974556
78,1044,0.006575189
79,1042,0.001597444
80,1040,-0.003494369
81,1038,-0.007741278000000001
82,1036,-0.01068697
83,1034,-0.012590073
84,1032,-0.013736186000000001
85,1030,-0.014670972
86,1028,-0.015262596000000002
87,1026,-0.015131315
88,1024,-0.013498456
89,1022,-0.010164553
90,1020,-0.00529366
91,1018,0.00017105200000000002
92,1016,0.005113493
93,1014,0.008557179
94,1012,0.01034965
95,1010,0.010807063
96,1008,0.010590714
97,1006,0.010023485
98,1004,0.009088907
99,1002,0.0073630430000000005
100,1000,0.004717565
101,998,0.0015485289999999999
102,996,-0.0012888469999999999
103,994,-0.002933588
104,992,-0.002763261
105,990,-0.000760555
106,988,0.002460424
107,986,0.005796888
108,984,0.00819377
109,982,0.009000253
110,980,0.008080043
111,978,0.005701911
112,976,0.0024667310000000002
113,974,-0.000946153
114,972,-0.00394943
115,970,-0.006156519
116,968,-0.007338906
117,966,-0.007398376
118,964,-0.006414100000000001
119,962,-0.004562792
120,960,-0.0020894620000000003
121,958,0.000673365
122,956,0.003330132
123,954,0.005485981
124,952,0.006866712
125,950,0.007469763000000001
126,948,0.007368647
127,946,0.0066833759999999996
128,944,0.005504879
129,942,0.003931424
130,940,0.002089764
131,938,0.000264905
132,936,-0.0010502019999999999
133,934,-0.0013627720000000002
134,932,-0.00061621
135,930,0.000837022
136,928,0.0023251739999999997
137,926,0.0031035940000000003
138,924,0.002641633
139,922,0.0009765080000000001
140,920,-0.0012941810000000002
141,918,-0.0033130559999999996
142,916,-0.004355072
143,914,-0.004108329
144,912,-0.002780892
145,910,-0.0008575789999999999
146,908,0.0010113910000000002
147,906,0.002318226
148,904,0.002852163
149,902,0.002691597
150,900,0.002139232
